id	tokens	pos_tags	chunk_tags	ner_tags
0	['Ichthyotitan', 'is', 'an', 'extinct', 'genus', 'of', 'giant', 'ichthyosaur', 'from', 'the', 'Late', 'Triassic', '(', 'Rhaetian', ')', ',', 'known', 'from', 'the', 'Westbury', 'Mudstone', 'Formation', 'in', 'Somerset', ',', 'United', 'Kingdom', '.']	[11, 3, 5, 0, 7, 1, 0, 7, 1, 5, 11, 11, 12, 11, 12, 12, 15, 1, 5, 11, 11, 11, 1, 11, 12, 11, 11, 12]	[11, 21, 0, 1, 11, 13, 1, 11, 13, 0, 11, 12, 0, 11, 0, 0, 21, 13, 0, 11, 12, 12, 13, 11, 0, 11, 12, 0]	[3, 7, 4, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1	"['It', 'is', 'believed', 'to', 'be', 'a', 'shastasaurid', ',', 'extending', 'the', 'family', ""'s"", 'range', 'by', '13', 'million', 'years', 'up', 'to', 'the', 'latest', 'Triassic', '.']"	[10, 3, 15, 9, 3, 5, 7, 12, 15, 5, 7, 9, 7, 1, 8, 8, 7, 1, 1, 5, 0, 11, 12]	[0, 21, 22, 15, 21, 0, 11, 0, 21, 0, 11, 15, 11, 13, 0, 0, 11, 13, 14, 0, 1, 11, 0]	[8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2	['The', 'discovery', 'of', 'Ichthyotitan', 'has', 'been', 'considered', 'evidence', 'that', 'shastasaurids', 'were', 'still', 'thriving', 'until', 'their', 'disappearance', 'in', 'the', 'Triassic', '–', 'Jurassic', 'extinction', 'event', '.']	[5, 7, 1, 11, 3, 3, 15, 7, 13, 7, 3, 2, 15, 1, 10, 7, 1, 5, 11, 12, 11, 7, 7, 12]	[0, 11, 13, 11, 21, 22, 22, 11, 17, 11, 21, 3, 21, 13, 0, 11, 13, 0, 11, 0, 11, 12, 12, 0]	[6, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3	['The', 'genus', 'contains', 'a', 'single', 'species', ',', 'I.', 'severnensis', '.']	[5, 7, 15, 5, 0, 7, 12, 7, 7, 12]	[0, 11, 21, 0, 1, 11, 0, 11, 12, 0]	[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4	['It', 'is', 'known', 'from', 'two', 'fragmentary', 'surangular', 'bones', 'of', 'the', 'lower', 'jaw', ',', 'discovered', 'in', 'separate', 'localities', 'in', '2016', 'and', '2020', '.']	[10, 3, 15, 1, 8, 0, 0, 7, 1, 5, 0, 7, 12, 15, 1, 0, 7, 1, 8, 4, 8, 12]	[0, 21, 22, 13, 0, 1, 2, 11, 13, 0, 1, 11, 0, 21, 13, 1, 11, 13, 0, 0, 0, 0]	[8, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5	['Other', 'specimens', 'throughout', 'Western', 'Europe', 'have', 'been', 'linked', 'to', 'the', 'species', 'based', 'on', 'similar', 'osteological', 'features', ',', 'although', 'their', 'affiliation', 'is', 'uncertain', '.']	[0, 7, 1, 11, 11, 3, 3, 15, 1, 5, 7, 15, 1, 0, 0, 7, 12, 13, 10, 7, 3, 0, 12]	[1, 11, 13, 11, 12, 21, 22, 22, 13, 0, 11, 21, 13, 1, 2, 11, 0, 17, 0, 11, 21, 1, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6	"['Estimates', 'scaling', 'up', 'the', 'bones', 'from', 'other', 'ichthyosaur', 'species', 'put', 'Ichthyotitan', ""'s"", 'body', 'length', 'at', 'near', '25', 'metres', '(', '82', '\xa0', 'ft', ')', ',', 'which', 'would', 'make', 'it', 'the', 'largest', 'marine', 'reptile', 'currently', 'known', '.']"	[7, 15, 1, 5, 7, 1, 0, 7, 7, 15, 11, 9, 7, 7, 1, 1, 8, 7, 12, 8, 11, 12, 12, 10, 3, 15, 10, 5, 0, 0, 7, 2, 15, 12, -1]	[11, 21, 13, 0, 11, 13, 1, 11, 12, 21, 11, 15, 11, 12, 13, 14, 0, 11, 0, 0, 0, 11, 0, 0, 0, 21, 22, 0, 0, 1, 2, 11, 3, 21, 0]	[3, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7	"['The', 'first', 'specimen', 'that', 'would', 'later', 'be', 'referred', 'to', 'as', 'Ichthyotitan', ',', 'BRSMG', 'Cg2488', '(', 'the', '""', 'Lilstock', 'specimen', '""', ')', ',', 'was', 'found', 'in', '2016', 'by', 'researcher', 'and', 'fossil', 'collector', 'Paul', 'de', 'la', 'Salle', 'in', 'the', 'Westbury', 'Formation', '.']"	[5, 0, 7, 10, 3, 2, 3, 15, 1, 1, 11, 12, 11, 11, 12, 5, 12, 11, 7, 12, 12, 12, 3, 15, 1, 8, 1, 7, 4, 7, 7, 11, 11, 11, 11, 1, 5, 11, 11, 12]	[0, 1, 11, 0, 21, 3, 21, 22, 13, 14, 11, 0, 11, 12, 0, 0, 0, 11, 12, 0, 0, 0, 21, 22, 13, 0, 13, 11, 0, 11, 12, 12, 12, 12, 12, 13, 0, 11, 12, 0]	[8, 7, 1, 8, 7, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8	['It', 'consists', 'of', 'a', 'partial', 'left', 'surangular', 'measuring', '96', 'centimeters', '(', '3.15', '\xa0', 'ft', ')', 'long', '.']	[10, 15, 1, 5, 0, 15, 0, 15, 8, 7, 12, 8, 11, 12, 2, 12, -1]	[0, 21, 13, 0, 1, 21, 1, 21, 0, 11, 0, 0, 0, 11, 0, 3, 0]	[8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9	['In', '2018', ',', 'Dean', 'Lomax', ',', 'Paul', 'de', 'la', 'Salle', ',', 'Judy', 'Massare', ',', 'and', 'Ramues', 'Gallois', 'identified', 'the', 'Lilstock', 'specimen', 'as', 'belonging', 'to', 'a', 'shastasaurid', '.']	[1, 8, 12, 11, 11, 12, 11, 11, 11, 11, 12, 11, 11, 12, 4, 11, 11, 15, 5, 11, 7, 1, 15, 1, 5, 7, 12]	[13, 0, 0, 11, 12, 0, 11, 12, 12, 12, 0, 11, 12, 0, 0, 11, 12, 21, 0, 11, 12, 13, 21, 13, 0, 11, 0]	[7, 4, 2, 1, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
