id	tokens	ner_tags
0	['The', 'peach', '(', 'Prunus', 'persica', ')', 'is', 'a', 'deciduous', 'tree', 'first', 'domesticated', 'and', 'cultivated', 'in', 'Zhejiang', 'province', 'of', 'Eastern', 'China', '.']	[[0], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
1	['It', 'bears', 'edible', 'juicy', 'fruits', 'with', 'various', 'characteristics', ',', 'most', 'called', 'peaches', 'and', 'others', '(', 'the', 'glossy', '-', 'skinned', ',', 'non', '-', 'fuzzy', 'varieties', ')', ',', 'nectarines', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
2	['The', 'specific', 'name', 'persica', 'refers', 'to', 'its', 'widespread', 'cultivation', 'in', 'Persia', '(', 'modern', '-', 'day', 'Iran', ')', ',', 'from', 'where', 'it', 'was', 'transplanted', 'to', 'Europe', 'and', 'in', 'the', '16th', 'century', 'to', 'the', 'Americas', '.']	[[3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
3	['It', 'belongs', 'to', 'the', 'genus', 'Prunus', ',', 'which', 'includes', 'the', 'cherry', ',', 'apricot', ',', 'almond', ',', 'and', 'plum', ',', 'in', 'the', 'rose', 'family', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
4	['The', 'peach', 'is', 'classified', 'with', 'the', 'almond', 'in', 'the', 'subgenus', 'Amygdalus', ',', 'distinguished', 'from', 'the', 'other', 'subgenera', 'by', 'the', 'corrugated', 'seed', 'shell', '(', 'endocarp', ')', '.']	[[3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
5	['Due', 'to', 'their', 'close', 'relatedness', ',', 'the', 'kernel', 'of', 'a', 'peach', 'stone', 'tastes', 'remarkably', 'similar', 'to', 'almond', ',', 'and', 'peach', 'stones', 'are', 'often', 'used', 'to', 'make', 'a', 'cheap', 'version', 'of', 'marzipan', ',', 'known', 'as', 'persipan', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
6	['Peaches', 'and', 'nectarines', 'are', 'the', 'same', 'species', ',', 'though', 'they', 'are', 'regarded', 'commercially', 'as', 'different', 'fruits', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
7	['The', 'skin', 'of', 'nectarines', 'lacks', 'the', 'fuzz', '(', 'fruit', '-', 'skin', 'trichomes', ')', 'that', 'peach', 'skin', 'has', ';', 'a', 'mutation', 'in', 'a', 'single', 'gene', '(', 'MYB25', ')', 'is', 'thought', 'to', 'be', 'responsible', 'for', 'the', 'difference', 'between', 'the', 'two', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
8	['In', '2018', ',', 'China', 'produced', '62', '%', 'of', 'the', 'world', 'total', 'of', 'peaches', 'and', 'nectarines', '.']	[[0], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
9	['Spain', ',', 'Italy', ',', 'Turkey', 'and', 'Greece', ',', 'all', 'situated', 'in', 'the', 'Mediterranean', 'region', ',', 'are', 'prominent', 'producers', 'of', 'peaches', '.']	[[3], [3], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
10	['Prunus', 'persica', 'trees', 'grow', 'up', 'to', '7', '\xa0', 'm', '(', '23', '\xa0', 'ft', ')', 'tall', 'and', 'wide', ',', 'but', 'when', 'pruned', 'properly', ',', 'they', 'are', 'usually', '3–4', '\xa0', 'm', '(', '10–13', '\xa0', 'ft', ')', 'tall', 'and', 'wide', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
11	['The', 'leaves', 'are', 'lanceolate', ',', '7–16', '\xa0', 'cm', '(', '3–6', '+', '1⁄2', '\xa0', 'in', ')', 'long', ',', '2–3', '\xa0', 'cm', '(', '3⁄4–1', '+', '1⁄4', '\xa0', 'in', ')', 'broad', ',', 'and', 'pinnately', 'veined', '.']	[[1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
12	['The', 'flowers', 'are', 'produced', 'in', 'early', 'spring', 'before', 'the', 'leaves', ';', 'they', 'are', 'solitary', 'or', 'paired', ',', '2.5–3', '\xa0', 'cm', 'diameter', ',', 'pink', ',', 'with', 'five', 'petals', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
13	['The', 'fruit', 'has', 'yellow', 'or', 'whitish', 'flesh', ',', 'a', 'delicate', 'aroma', ',', 'and', 'a', 'skin', 'that', 'is', 'either', 'velvety', '(', 'peaches', ')', 'or', 'smooth', '(', 'nectarines', ')', 'in', 'different', 'cultivars', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
14	['The', 'flesh', 'is', 'very', 'delicate', 'and', 'easily', 'bruised', 'in', 'some', 'cultivars', ',', 'but', 'is', 'fairly', 'firm', 'in', 'some', 'commercial', 'varieties', ',', 'especially', 'when', 'green', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
15	['The', 'single', ',', 'large', 'seed', 'is', 'red', '-', 'brown', ',', 'oval', 'shaped', ',', 'around', '1.3–2', '\xa0', 'cm', 'long', ',', 'and', 'surrounded', 'by', 'a', 'wood', '-', 'like', 'husk', '.']	[[1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
16	['Peaches', ',', 'along', 'with', 'cherries', ',', 'plums', ',', 'and', 'apricots', ',', 'are', 'stone', 'fruits', '(', 'drupes', ')', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
17	"['The', 'various', 'heirloom', 'varieties', 'including', 'the', ""'"", 'Indian', 'Peach', ""'"", ',', 'or', ""'"", 'Indian', 'Blood', 'Peach', ""'"", ',', 'which', 'ripens', 'in', 'the', 'latter', 'part', 'of', 'the', 'summer', ',', 'and', 'can', 'have', 'color', 'ranging', 'from', 'red', 'and', 'white', ',', 'to', 'purple', '.']"	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
18	['Cultivated', 'peaches', 'are', 'divided', 'into', 'clingstones', 'and', 'freestones', ',', 'depending', 'on', 'whether', 'the', 'flesh', 'sticks', 'to', 'the', 'stone', 'or', 'not', ';', 'both', 'can', 'have', 'either', 'white', 'or', 'yellow', 'flesh', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
