ID	tokens	pos_tags	chunk_tags	ner_tags
0	['The', 'Kingdom', 'of', 'the', 'East', 'Angles', '(', 'Old', 'English', ':', 'Ēastengla', 'Rīċe', ';', 'Latin', ':', 'Regnum', 'Orientalium', 'Anglorum', ')', ',', 'formally', 'known', 'as', 'the', 'Kingdom', 'of', 'East', 'Anglia', ',', 'was', 'a', 'small', 'independent', 'kingdom', 'of', 'the', 'Angles', 'during', 'the', 'Anglo', '-', 'Saxon', 'period', 'comprising', 'what', 'are', 'now', 'the', 'English', 'counties', 'of', 'Norfolk', 'and', 'Suffolk', 'and', 'perhaps', 'the', 'eastern', 'part', 'of', 'the', 'Fens,[1', ']', 'the', 'area', 'still', 'known', 'as', 'East', 'Anglia', '.']	[5, 11, 1, 5, 11, 11, 12, 11, 11, 12, 11, 11, 12, 11, 12, 11, 11, 11, 12, 12, 2, 15, 1, 5, 11, 1, 11, 11, 12, 3, 5, 0, 0, 7, 1, 5, 11, 1, 5, 11, 12, 11, 7, 15, 10, 3, 2, 5, 0, 7, 1, 11, 4, 11, 4, 2, 5, 0, 7, 1, 5, 8, 16, 5, 7, 2, 15, 1, 11, 11, 12]	[0, 11, 13, 0, 11, 12, 0, 11, 12, 0, 11, 12, 0, 11, 0, 11, 12, 12, 0, 0, 3, 21, 13, 0, 11, 13, 11, 12, 0, 21, 0, 1, 2, 11, 13, 0, 11, 13, 0, 11, 0, 11, 12, 21, 0, 21, 3, 0, 1, 11, 13, 11, 0, 11, 0, 3, 0, 1, 11, 13, 0, 0, 19, 0, 11, 3, 21, 13, 11, 12, 0]	[6, 7, 3, 8, 1, 6, 8, 7, 8, 6, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1	['The', 'kingdom', 'formed', 'in', 'the', '6th', 'century', 'in', 'the', 'wake', 'of', 'the', 'Anglo', '-', 'Saxon', 'settlement', 'of', 'Britain', 'and', 'was', 'one', 'of', 'the', 'kingdoms', 'of', 'the', 'Heptarchy', '.']	[5, 7, 15, 1, 5, 0, 7, 1, 5, 7, 1, 5, 11, 12, 11, 7, 1, 11, 4, 3, 8, 1, 5, 7, 1, 5, 11, 12]	[0, 11, 21, 13, 0, 1, 11, 13, 0, 11, 13, 0, 11, 0, 11, 12, 13, 11, 0, 21, 0, 13, 0, 11, 13, 0, 11, 0]	[8, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2	['It', 'was', 'ruled', 'by', 'the', 'Wuffingas', 'dynasty', 'in', 'the', '7th', 'and', '8th', 'centuries', ',', 'but', 'the', 'territory', 'was', 'taken', 'by', 'Offa', 'of', 'Mercia', 'in', '794', '.']	[10, 3, 15, 1, 5, 11, 7, 1, 5, 0, 4, 0, 7, 12, 4, 5, 7, 3, 15, 1, 11, 1, 11, 1, 8, 12]	[0, 21, 22, 13, 0, 11, 12, 13, 0, 1, 0, 1, 11, 0, 0, 0, 11, 21, 22, 13, 11, 13, 11, 13, 0, 0]	[8, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3	['Mercia', 'control', 'lapsed', 'briefly', 'following', 'the', 'death', 'of', 'Offa', 'but', 'was', 'reestablished', '.']	[11, 7, 15, 2, 15, 5, 7, 1, 11, 4, 3, 15, 12]	[11, 12, 21, 3, 21, 0, 11, 13, 11, 0, 21, 22, 0]	[1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4	"['The', 'Danish', 'Great', 'Heathen', 'Army', 'landed', 'in', 'East', 'Anglia', 'in', '865', ',', 'after', 'taking', 'York', 'it', 'returned', 'to', 'East', 'Anglia', ',', 'killing', 'King', 'Edmund', '(', '""', 'the', 'Martyr', '""', ')', 'and', 'making', 'it', 'Danish', 'land', 'in', '869', '.']"	[5, 11, 11, 11, 11, 15, 1, 11, 11, 1, 8, 12, 1, 15, 11, 10, 15, 1, 11, 11, 12, 15, 11, 11, 12, 12, 5, 11, 12, 12, 4, 15, 10, 0, 7, 1, 8, 12]	[0, 11, 12, 12, 12, 21, 13, 11, 12, 13, 0, 0, 13, 21, 11, 0, 21, 13, 11, 12, 0, 21, 11, 12, 0, 0, 0, 11, 0, 0, 0, 21, 0, 1, 11, 13, 0, 0]	[4, 5, 8, 2, 6, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5	['After', 'Alfred', 'the', 'Great', 'forced', 'a', 'treaty', 'with', 'the', 'Danes', ',', 'East', 'Anglia', 'was', 'left', 'as', 'part', 'of', 'the', 'Danelaw', '.']	[1, 11, 5, 11, 15, 5, 7, 1, 5, 11, 12, 11, 11, 3, 15, 1, 7, 1, 5, 7, 12]	[13, 11, 0, 11, 21, 0, 11, 13, 0, 11, 0, 11, 12, 21, 22, 13, 11, 13, 0, 11, 0]	[3, 7, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6	['It', 'was', 'taken', 'back', 'from', 'Danish', 'control', 'by', 'Edward', 'the', 'Elder', 'and', 'incorporated', 'into', 'the', 'Kingdom', 'of', 'Wessex', 'in', '917', '.']	[10, 3, 15, 2, 1, 0, 7, 1, 11, 5, 11, 4, 15, 1, 5, 11, 1, 11, 1, 8, 12]	[0, 21, 22, 3, 13, 1, 11, 13, 11, 0, 11, 0, 21, 13, 0, 11, 13, 11, 13, 0, 0]	[8, 1, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7	['The', 'Kingdom', 'of', 'East', 'Anglia', 'was', 'organised', 'in', 'the', 'first', 'or', 'second', 'quarter', 'of', 'the', '6th', 'century', ',', 'with', 'Wehha', 'listed', 'as', 'the', 'first', 'king', 'of', 'the', 'East', 'Angles', ',', 'followed', 'by', 'Wuffa', '.']	[5, 11, 1, 11, 11, 3, 15, 1, 5, 0, 4, 0, 7, 1, 5, 0, 7, 12, 1, 11, 15, 1, 5, 0, 7, 1, 5, 11, 11, 12, 15, 1, 11, 12]	[0, 11, 13, 11, 12, 21, 22, 13, 0, 1, 0, 1, 11, 13, 0, 1, 11, 0, 13, 11, 21, 13, 0, 1, 11, 13, 0, 11, 12, 0, 21, 13, 11, 0]	[6, 7, 1, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8	['[', '1', ']', 'The', 'Anglo', '-', 'Saxon', 'genealogy', 'for', 'East', 'Angles', 'gives', 'Wehha', 'as', 'descended', 'from', 'Woden', 'via', 'Caesar', '.']	[16, 16, 12, 5, 11, 12, 11, 7, 1, 11, 11, 15, 11, 13, 15, 1, 11, 1, 11, 12]	[19, 20, 0, 0, 11, 0, 11, 12, 13, 11, 12, 21, 11, 17, 21, 13, 11, 13, 11, 0]	[7, 8, 8, 2, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9	['Until', '749', 'the', 'kings', 'of', 'East', 'Anglia', 'were', 'Wuffingas', ',', 'named', 'after', 'the', 'semi', '-', 'historical', 'Wuffa', '.']	[1, 8, 5, 7, 1, 11, 11, 3, 11, 12, 15, 1, 5, 0, 0, 0, 7, 12]	[13, 0, 0, 11, 13, 11, 12, 21, 11, 0, 21, 13, 0, 1, 2, 2, 11, 0]	[7, 6, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
