id	tokens	ner_tags
0	['Alienware', 'Corporation', 'is', 'an', 'American', 'computer', 'hardware', 'subsidiary', 'brand', 'of', 'Dell', '.']	[[2], [0], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
1	['Their', 'product', 'range', 'is', 'dedicated', 'to', 'gaming', 'computers', 'and', 'accessories', 'and', 'can', 'be', 'identified', 'by', 'their', 'alien', '-', 'themed', 'designs', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
2	['[', '4', ']', 'Alienware', 'was', 'founded', 'in', '1996', 'by', 'Nelson', 'Gonzalez', 'and', 'Alex', 'Aguila', '.']	[[0], [0], [1], [1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
3	['[', '5][6', ']', 'The', 'development', 'of', 'the', 'company', 'is', 'also', 'associated', 'with', 'Frank', 'Azor', '(', 'co', '-', 'founder),[7', ']', 'Arthur', 'Lewis', '(', 'vice', 'president),[8][9', ']', 'Joe', 'Balerdi', '(', 'investment', 'partner),[10', ']', 'and', 'Michael', 'S.', 'Dell', '(', 'CEO', ')', '.']	[[1], [1], [1], [1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
4	"['The', 'company', ""'s"", 'corporate', 'headquarters', 'is', 'located', 'in', 'The', 'Hammocks', ',', 'Miami', ',', 'Florida', '.']"	[[3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
5	['[', '11', ']', '\n', 'Established', 'in', '1996', 'as', 'Saikai', 'of', 'Miami', ',', 'Inc.', 'by', 'Nelson', 'Gonzalez', 'and', 'Alex', 'Aguila', ',', 'two', 'childhood', 'friends', ',', 'Alienware', 'assembles', 'desktops', ',', 'notebooks', ',', 'workstations', ',', 'and', 'PC', 'gaming', 'consoles', '.']	[[0], [2], [0], [0], [3], [1], [1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
6	"['[', '12][13][14][15', ']', 'According', 'to', 'employees', ',', 'the', 'name', '""', 'Alienware', '""', 'was', 'chosen', 'because', 'of', 'the', 'founders', ""'"", 'fondness', 'for', 'the', 'hit', 'television', 'series', 'The', 'X', '-', 'Files', ',', 'which', 'also', 'inspired', 'the', 'science', '-', 'fiction', 'themed', 'names', 'of', 'product', 'lines', 'such', 'as', 'Area-51', ',', 'Hangar', '18', ',', 'and', 'Aurora', '.']"	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
7	['[', '16', ']', 'In', '1997', ',', 'the', 'corporation', 'changed', 'its', 'name', 'to', 'Alienware', '.']	[[0], [0], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
8	['Dell', 'had', 'considered', 'buying', 'the', 'Alienware', 'company', 'since', '2002', ',', 'but', 'did', 'not', 'go', 'through', 'with', 'the', 'purchase', 'until', 'March', '22', ',', '2006', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
9	"['[', '17][18', ']', 'As', 'a', 'subsidiary', ',', 'it', 'retains', 'control', 'of', 'its', 'design', 'and', 'marketing', 'while', 'benefiting', 'from', 'Dell', ""'s"", 'purchasing', 'power', ',', 'economies', 'of', 'scale', ',', 'and', 'supply', 'chain', ',', 'which', 'lowered', 'its', 'operating', 'costs', '.']"	[[2], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
